Año,Mes,Dia_Habil,Turno,Zona,Antiguedad,Tipo_Distraccion,Proteccion_Total
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,No,Mañana,Sur,Mayor a 10 años,Ninguno,No
2022,11,Si,Mañana,Oeste,Mayor a 10 años,Ninguno,No
2022,11,No,Mañana,Norte,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Norte,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Oeste,menor a 10 años,Fuma,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,No
2022,10,Si,Mañana,Sur,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Norte,Mayor a 10 años,Ninguno,No
2022,11,Si,Mañana,Centro,Mayor a 10 años,Celular,Si
2022,10,Si,Tarde,Norte,menor a 10 años,Celular,Si
2022,10,No,Tarde,Sur,menor a 10 años,Fuma,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,Mayor a 10 años,Ninguno,Si
2022,11,No,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,No,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Norte,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Centro,menor a 10 años,Celular,No
2022,10,Si,Tarde,Oeste,menor a 10 años,Celular,No
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,No
2022,10,Si,Mañana,Sur,Mayor a 10 años,Ninguno,No
2022,11,No,Mañana,Oeste,Mayor a 10 años,Ninguno,No
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,No
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Centro,menor a 10 años,Celular,Si
2022,11,Si,Mañana,Oeste,menor a 10 años,Celular,Si
2022,10,No,Tarde,Norte,menor a 10 años,Celular,No
2022,11,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,Si
2022,11,No,Mañana,Norte,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,Mayor a 10 años,Celular,Si
2022,10,Si,Mañana,Oeste,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,Mayor a 10 años,Fuma,No
2022,11,Si,Mañana,Sur,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Celular,Si
2022,10,No,Tarde,Sur,menor a 10 años,Celular,Si
2022,11,No,Mañana,Oeste,Mayor a 10 años,Fuma,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Norte,Mayor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Sur,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Norte,Mayor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,Mayor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,11,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Oeste,menor a 10 años,Come,No
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,No,Mañana,Centro,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,No,Mañana,Sur,Mayor a 10 años,Ninguno,No
2022,11,No,Mañana,Norte,menor a 10 años,Ninguno,No
2022,11,Si,Mañana,Centro,menor a 10 años,Celular,Si
2022,11,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Norte,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,menor a 10 años,Fuma,No
2022,10,Si,Mañana,Oeste,menor a 10 años,Celular,Si
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Norte,Mayor a 10 años,Celular,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Fuma,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,No
2022,11,No,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Sur,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Norte,Mayor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,No
2022,11,No,Mañana,Norte,Mayor a 10 años,Ninguno,No
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,11,Si,Mañana,Oeste,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Celular,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Come,Si
2022,11,Si,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Norte,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,Mayor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Centro,menor a 10 años,Celular,No
2022,10,Si,Tarde,Norte,menor a 10 años,Ninguno,No
2022,11,Si,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,11,No,Mañana,Oeste,menor a 10 años,Celular,Si
2022,11,No,Mañana,Norte,menor a 10 años,Celular,Si
2022,10,No,Mañana,Centro,Mayor a 10 años,Fuma,Si
2022,10,Si,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,Mayor a 10 años,Celular,No
2022,10,Si,Mañana,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,menor a 10 años,Celular,Si
2022,10,No,Tarde,Centro,menor a 10 años,Celular,Si
2022,10,No,Tarde,Centro,menor a 10 años,Celular,Si
2022,10,Si,Tarde,Norte,Mayor a 10 años,Celular,Si
2022,11,No,Tarde,Oeste,menor a 10 años,Celular,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Celular,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,11,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,11,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Centro,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Centro,menor a 10 años,Ninguno,No
2022,11,Si,Mañana,Sur,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Fuma,No
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,No,Mañana,Oeste,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,menor a 10 años,Celular,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Celular,Si
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,No
2022,10,No,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Oeste,Mayor a 10 años,Ninguno,No
2022,11,Si,Mañana,Oeste,menor a 10 años,Ninguno,No
2022,11,No,Mañana,Norte,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Celular,Si
2022,10,No,Tarde,Sur,menor a 10 años,Celular,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Celular,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Celular,No
2022,10,Si,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Norte,Mayor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,Mayor a 10 años,Ninguno,Si
2022,11,No,Mañana,Oeste,Mayor a 10 años,Ninguno,Si
2022,11,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,11,No,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,No
2022,11,No,Mañana,Norte,Mayor a 10 años,Celular,No
2022,10,Si,Mañana,Centro,Mayor a 10 años,Celular,No
2022,10,Si,Tarde,Centro,Mayor a 10 años,Fuma,No
2022,10,Si,Tarde,Norte,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,No,Mañana,Centro,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Celular,Si
2022,10,Si,Tarde,Sur,menor a 10 años,Celular,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Centro,Mayor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,No
2022,11,Si,Mañana,Oeste,Mayor a 10 años,Ninguno,No
2022,10,No,Mañana,Sur,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Celular,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,Mayor a 10 años,Ninguno,Si
2022,10,No,Mañana,Norte,Mayor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Norte,Mayor a 10 años,Ninguno,Si
2022,11,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,11,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,11,No,Tarde,Oeste,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,No
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,11,No,Mañana,Norte,Mayor a 10 años,Celular,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Fuma,No
2022,10,Si,Tarde,Norte,Mayor a 10 años,Celular,Si
2022,11,Si,Mañana,Oeste,Mayor a 10 años,Celular,Si
2022,10,No,Tarde,Oeste,Mayor a 10 años,Celular,Si
2022,10,Si,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,No
2022,11,Si,Mañana,Oeste,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Celular,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Celular,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,No
2022,10,Si,Mañana,Centro,menor a 10 años,Celular,No
2022,10,Si,Mañana,Norte,menor a 10 años,Celular,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Fuma,Si
2022,11,Si,Mañana,Oeste,menor a 10 años,Fuma,Si
2022,10,No,Mañana,Norte,menor a 10 años,Fuma,Si
2022,10,Si,Mañana,Centro,menor a 10 años,Come,Si
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,11,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Sur,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,No
2022,11,Si,Mañana,Sur,Mayor a 10 años,Celular,No
2022,10,No,Tarde,Norte,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,Mayor a 10 años,Ninguno,No
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,No,Tarde,Oeste,Mayor a 10 años,Ninguno,No
2022,10,No,Mañana,Oeste,menor a 10 años,Celular,No
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,11,No,Mañana,Norte,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,11,No,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Sur,menor a 10 años,Ninguno,No
2022,10,Si,Mañana,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Norte,menor a 10 años,Celular,Si
2022,11,Si,Mañana,Oeste,Mayor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Celular,No
2022,11,Si,Mañana,Oeste,menor a 10 años,Celular,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Celular,Si
2022,10,No,Mañana,Oeste,menor a 10 años,Celular,Si
2022,10,Si,Tarde,Norte,Mayor a 10 años,Come,No
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,11,No,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,11,No,Mañana,Oeste,Mayor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Oeste,menor a 10 años,Ninguno,Si
2022,10,Si,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,No,Mañana,Norte,menor a 10 años,Ninguno,No
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Mañana,Centro,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Norte,menor a 10 años,Ninguno,Si
2022,11,Si,Mañana,Sur,menor a 10 años,Ninguno,Si
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,No
2022,10,Si,Tarde,Centro,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,menor a 10 años,Ninguno,No
2022,10,No,Tarde,Sur,Mayor a 10 años,Ninguno,No
2022,10,Si,Mañana,Sur,menor a 10 años,Ninguno,No
